Gene	Gene description	Concentration
RPL10A	Ribosomal protein L10a	360 ng/L
SCARF2	Scavenger receptor class F member 2	360 ng/L
RETN	Resistin	350 ng/L
LAMA4	Laminin subunit alpha 4	350 ng/L
PRKAR2A	Protein kinase cAMP-dependent type II regulatory subunit alpha	350 ng/L
SCRN2	Secernin 2	350 ng/L
SUMF1	Sulfatase modifying factor 1	350 ng/L
CADM2	Cell adhesion molecule 2	350 ng/L
CLTB	Clathrin light chain B	350 ng/L
PFAS	Phosphoribosylformylglycinamidine synthase	350 ng/L
HEBP2	Heme binding protein 2	340 ng/L
ARCN1	Archain 1	340 ng/L
PSMD7	"Proteasome 26S subunit, non-ATPase 7"	340 ng/L
TBCB	Tubulin folding cofactor B	340 ng/L
CLINT1	Clathrin interactor 1	340 ng/L
PAICS	Phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	340 ng/L
NCAN	Neurocan	340 ng/L
EPHA7	EPH receptor A7	340 ng/L
AP2M1	Adaptor related protein complex 2 mu 1 subunit	340 ng/L
VEGFD	Vascular endothelial growth factor D	340 ng/L
CTSW	Cathepsin W	340 ng/L
PSMD9	"Proteasome 26S subunit, non-ATPase 9"	330 ng/L
RAB32	"RAB32, member RAS oncogene family"	330 ng/L
SMPDL3B	Sphingomyelin phosphodiesterase acid like 3B	330 ng/L
TPBG	Trophoblast glycoprotein	330 ng/L
SUCLG1	Succinate-CoA ligase alpha subunit	330 ng/L
WAS	Wiskott-Aldrich syndrome	320 ng/L
VPS35	"VPS35, retromer complex component"	320 ng/L
TM9SF3	Transmembrane 9 superfamily member 3	320 ng/L
NPTX2	Neuronal pentraxin 2	320 ng/L
RPL22	Ribosomal protein L22	320 ng/L
CNN3	Calponin 3	320 ng/L
ANGPTL8	Angiopoietin like 8	320 ng/L
KHK	Ketohexokinase	320 ng/L
ADK	Adenosine kinase	320 ng/L
CTHRC1	Collagen triple helix repeat containing 1	320 ng/L
KLK11	Kallikrein related peptidase 11	320 ng/L
SLITRK4	SLIT and NTRK like family member 4	320 ng/L
TSN	Translin	320 ng/L
SRPX	"Sushi repeat containing protein, X-linked"	310 ng/L
HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	310 ng/L
PPL	Periplakin	310 ng/L
TRIM58	Tripartite motif containing 58	310 ng/L
PTX3	Pentraxin 3	310 ng/L
CASP3	Caspase 3	310 ng/L
NQO1	NAD(P)H quinone dehydrogenase 1	310 ng/L
PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	300 ng/L
ENPP5	Ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)	300 ng/L
HDGF	Heparin binding growth factor	300 ng/L
PRKCD	Protein kinase C delta	300 ng/L
DSG4	Desmoglein 4	300 ng/L
AP2A1	Adaptor related protein complex 2 alpha 1 subunit	300 ng/L
PDGFA	Platelet derived growth factor subunit A	300 ng/L
GDF2	Growth differentiation factor 2	300 ng/L
ST3GAL1	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"	290 ng/L
STRAP	Serine/threonine kinase receptor associated protein	290 ng/L
LOX	Lysyl oxidase	290 ng/L
CHST10	Carbohydrate sulfotransferase 10	290 ng/L
WIPF1	WAS/WASL interacting protein family member 1	290 ng/L
INHBA	Inhibin beta A subunit	290 ng/L
EPHB2	EPH receptor B2	290 ng/L
KLB	Klotho beta	290 ng/L
C9orf40	Chromosome 9 open reading frame 40	290 ng/L
ANP32B	Acidic nuclear phosphoprotein 32 family member B	290 ng/L
SEMA6C	Semaphorin 6C	290 ng/L
PRSS23	Serine protease 23	290 ng/L
CLIC2	Chloride intracellular channel 2	290 ng/L
B3GALNT1	"Beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"	290 ng/L
AZU1	Azurocidin 1	290 ng/L
SUCLG2	Succinate-CoA ligase GDP-forming beta subunit	290 ng/L
PLA2G2A	Phospholipase A2 group IIA	290 ng/L
M6PR	"Mannose-6-phosphate receptor, cation dependent"	280 ng/L
MRVI1	Murine retrovirus integration site 1 homolog	280 ng/L
RPS12	Ribosomal protein S12	280 ng/L
FAM20B	"FAM20B, glycosaminoglycan xylosylkinase"	280 ng/L
SFPQ	Splicing factor proline and glutamine rich	280 ng/L
ADGRL2	Adhesion G protein-coupled receptor L2	280 ng/L
USP15	Ubiquitin specific peptidase 15	280 ng/L
GLTP	Glycolipid transfer protein	280 ng/L
IGSF10	Immunoglobulin superfamily member 10	280 ng/L
SCUBE2	"Signal peptide, CUB domain and EGF like domain containing 2"	280 ng/L
PRELP	Proline and arginine rich end leucine rich repeat protein	280 ng/L
NPTXR	Neuronal pentraxin receptor	280 ng/L
DPEP1	Dipeptidase 1	270 ng/L
COL11A1	Collagen type XI alpha 1 chain	270 ng/L
LRP6	LDL receptor related protein 6	270 ng/L
SLC44A1	Solute carrier family 44 member 1	270 ng/L
RPL6	Ribosomal protein L6	270 ng/L
VNN2	Vanin 2	270 ng/L
PSMF1	Proteasome inhibitor subunit 1	270 ng/L
LAMTOR5	"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 5"	270 ng/L
GDF11	Growth differentiation factor 11	270 ng/L
C14orf37	Chromosome 14 open reading frame 37	270 ng/L
TNFAIP8	TNF alpha induced protein 8	270 ng/L
LAMTOR1	"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 1"	270 ng/L
PDLIM3	PDZ and LIM domain 3	270 ng/L
PCDH1	Protocadherin 1	270 ng/L
SLITRK1	SLIT and NTRK like family member 1	270 ng/L
DCTPP1	DCTP pyrophosphatase 1	270 ng/L
OLFML1	Olfactomedin like 1	270 ng/L
CRELD2	Cysteine rich with EGF like domains 2	270 ng/L
KRT39	Keratin 39	270 ng/L
SPTAN1	"Spectrin alpha, non-erythrocytic 1"	270 ng/L
GALNT4	Polypeptide N-acetylgalactosaminyltransferase 4	270 ng/L
GRAP2	GRB2-related adaptor protein 2	260 ng/L
CDC37	Cell division cycle 37	260 ng/L
C12orf49	Chromosome 12 open reading frame 49	260 ng/L
TNNC1	"Troponin C1, slow skeletal and cardiac type"	260 ng/L
COPA	Coatomer protein complex subunit alpha	260 ng/L
SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	260 ng/L
PSME3	Proteasome activator subunit 3	260 ng/L
CTSV	Cathepsin V	260 ng/L
RET	Ret proto-oncogene	260 ng/L
KIF5B	Kinesin family member 5B	260 ng/L
ABHD14A	Abhydrolase domain containing 14A	260 ng/L
MAPK1	Mitogen-activated protein kinase 1	250 ng/L
GALNT16	Polypeptide N-acetylgalactosaminyltransferase 16	250 ng/L
MTHFD1	"Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"	250 ng/L
SSBP1	Single stranded DNA binding protein 1	250 ng/L
ERBIN	Erbb2 interacting protein	250 ng/L
AGMAT	Agmatinase	250 ng/L
RBM25	RNA binding motif protein 25	250 ng/L
ITGA9	Integrin subunit alpha 9	250 ng/L
ELOC	Elongin C	250 ng/L
ZG16	Zymogen granule protein 16	250 ng/L
LRRC25	Leucine rich repeat containing 25	250 ng/L
HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	250 ng/L
KPNA4	Karyopherin subunit alpha 4	250 ng/L
AQP1	Aquaporin 1 (Colton blood group)	250 ng/L
LAMC3	Laminin subunit gamma 3	240 ng/L
ROCK1	Rho associated coiled-coil containing protein kinase 1	240 ng/L
CLC	Charcot-Leyden crystal galectin	240 ng/L
CUBN	Cubilin	240 ng/L
FLRT3	Fibronectin leucine rich transmembrane protein 3	240 ng/L
CSRP3	Cysteine and glycine rich protein 3	240 ng/L
IMMT	Inner membrane mitochondrial protein	240 ng/L
MINDY1	MINDY lysine 48 deubiquitinase 1	240 ng/L
GUK1	Guanylate kinase 1	240 ng/L
ATP6V1B2	ATPase H+ transporting V1 subunit B2	240 ng/L
CRB2	"Crumbs 2, cell polarity complex component"	240 ng/L
PRG3	"Proteoglycan 3, pro eosinophil major basic protein 2"	240 ng/L
LRP8	LDL receptor related protein 8	240 ng/L
CD1C	CD1c molecule	240 ng/L
S100A1	S100 calcium binding protein A1	240 ng/L
PEA15	Proliferation and apoptosis adaptor protein 15	240 ng/L
PRPF8	Pre-mRNA processing factor 8	240 ng/L
SHMT1	Serine hydroxymethyltransferase 1	240 ng/L
NHLRC3	NHL repeat containing 3	240 ng/L
ISOC2	Isochorismatase domain containing 2	230 ng/L
MAVS	Mitochondrial antiviral signaling protein	230 ng/L
QPRT	Quinolinate phosphoribosyltransferase	230 ng/L
TNR	Tenascin R	230 ng/L
YARS	Tyrosyl-tRNA synthetase	230 ng/L
NIPSNAP3A	Nipsnap homolog 3A	230 ng/L
LRRC57	Leucine rich repeat containing 57	230 ng/L
UNC5C	Unc-5 netrin receptor C	230 ng/L
C2orf88	Chromosome 2 open reading frame 88	230 ng/L
S100A10	S100 calcium binding protein A10	230 ng/L
COL5A2	Collagen type V alpha 2 chain	230 ng/L
NAXD	NAD(P)HX dehydratase	230 ng/L
CDV3	CDV3 homolog	220 ng/L
RAB2A	"RAB2A, member RAS oncogene family"	220 ng/L
CD86	CD86 molecule	220 ng/L
SPCS2	Signal peptidase complex subunit 2	220 ng/L
VAPB	VAMP associated protein B and C	220 ng/L
SIGLEC9	Sialic acid binding Ig like lectin 9	220 ng/L
ST14	Suppression of tumorigenicity 14	220 ng/L
GPX4	Glutathione peroxidase 4	220 ng/L
FNTA	"Farnesyltransferase, CAAX box, alpha"	220 ng/L
STAT3	Signal transducer and activator of transcription 3	220 ng/L
ATP5ME	ATP synthase membrane subunit e	220 ng/L
ADSSL1	Adenylosuccinate synthase like 1	220 ng/L
DCTN1	Dynactin subunit 1	220 ng/L
CLCA4	Chloride channel accessory 4	210 ng/L
NCKAP1	NCK associated protein 1	210 ng/L
ELAVL1	ELAV like RNA binding protein 1	210 ng/L
COL5A3	Collagen type V alpha 3 chain	210 ng/L
RAB18	"RAB18, member RAS oncogene family"	210 ng/L
SULT2A1	Sulfotransferase family 2A member 1	210 ng/L
COPE	Coatomer protein complex subunit epsilon	210 ng/L
HGD	"Homogentisate 1,2-dioxygenase"	210 ng/L
STMN1	Stathmin 1	210 ng/L
VAMP8	Vesicle associated membrane protein 8	210 ng/L
CNOT1	CCR4-NOT transcription complex subunit 1	210 ng/L
STAB2	Stabilin 2	210 ng/L
ALDH1B1	Aldehyde dehydrogenase 1 family member B1	210 ng/L
PRUNE1	Prune exopolyphosphatase 1	210 ng/L
CRYL1	Crystallin lambda 1	210 ng/L
PCBD1	Pterin-4 alpha-carbinolamine dehydratase 1	210 ng/L
PNLIPRP1	Pancreatic lipase related protein 1	210 ng/L
RPL14	Ribosomal protein L14	210 ng/L
DLL1	Delta like canonical Notch ligand 1	210 ng/L
PRKCQ	Protein kinase C theta	200 ng/L
NANS	N-acetylneuraminate synthase	200 ng/L
CDS2	CDP-diacylglycerol synthase 2	200 ng/L
HAO1	Hydroxyacid oxidase 1	200 ng/L
GALNT18	Polypeptide N-acetylgalactosaminyltransferase 18	200 ng/L
TP53I3	Tumor protein p53 inducible protein 3	200 ng/L
HSD17B12	Hydroxysteroid 17-beta dehydrogenase 12	200 ng/L
PAK1	P21 (RAC1) activated kinase 1	200 ng/L
FUBP1	Far upstream element binding protein 1	200 ng/L
SERPINI1	Serpin family I member 1	200 ng/L
SNTB1	Syntrophin beta 1	200 ng/L
GBA	Glucosylceramidase beta	200 ng/L
HCLS1	Hematopoietic cell-specific Lyn substrate 1	200 ng/L
KRTAP13-4	Keratin associated protein 13-4	200 ng/L
UBQLN2	Ubiquilin 2	200 ng/L
SULF2	Sulfatase 2	200 ng/L
BCLAF1	BCL2 associated transcription factor 1	190 ng/L
CUL1	Cullin 1	190 ng/L
FUS	FUS RNA binding protein	190 ng/L
SEC14L2	SEC14 like lipid binding 2	190 ng/L
PSMC6	"Proteasome 26S subunit, ATPase 6"	190 ng/L
FBL	Fibrillarin	190 ng/L
MYL2	Myosin light chain 2	190 ng/L
NEK9	NIMA related kinase 9	190 ng/L
SARDH	Sarcosine dehydrogenase	190 ng/L
OSTF1	Osteoclast stimulating factor 1	190 ng/L
NPL	N-acetylneuraminate pyruvate lyase	190 ng/L
IGSF8	Immunoglobulin superfamily member 8	190 ng/L
BROX	BRO1 domain and CAAX motif containing	190 ng/L
COPS2	COP9 signalosome subunit 2	190 ng/L
CA4	Carbonic anhydrase 4	190 ng/L
ACOX2	Acyl-CoA oxidase 2	190 ng/L
PODN	Podocan	190 ng/L
NPPA	Natriuretic peptide A	190 ng/L
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	190 ng/L
VWA1	Von Willebrand factor A domain containing 1	190 ng/L
GLDN	Gliomedin	190 ng/L
LRBA	LPS responsive beige-like anchor protein	190 ng/L
CBSL	Cystathionine-beta-synthase like	190 ng/L
ITGA3	Integrin subunit alpha 3	180 ng/L
DERA	Deoxyribose-phosphate aldolase	180 ng/L
SEMA6A	Semaphorin 6A	180 ng/L
NPDC1	"Neural proliferation, differentiation and control 1"	180 ng/L
GLRX3	Glutaredoxin 3	180 ng/L
FLT3	Fms related tyrosine kinase 3	180 ng/L
COL21A1	Collagen type XXI alpha 1 chain	180 ng/L
DTD1	D-tyrosyl-tRNA deacylase 1	180 ng/L
UFC1	Ubiquitin-fold modifier conjugating enzyme 1	180 ng/L
VLDLR	Very low density lipoprotein receptor	180 ng/L
FAM177A1	Family with sequence similarity 177 member A1	180 ng/L
CPAMD8	"C3 and PZP like, alpha-2-macroglobulin domain containing 8"	180 ng/L
PSMC3	"Proteasome 26S subunit, ATPase 3"	180 ng/L
SEMA6B	Semaphorin 6B	180 ng/L
IL7R	Interleukin 7 receptor	180 ng/L
BOLA2B	BolA family member 2B	180 ng/L
BOLA2	BolA family member 2	180 ng/L
ADSL	Adenylosuccinate lyase	180 ng/L
GH1	Growth hormone 1	180 ng/L
TNFRSF12A	TNF receptor superfamily member 12A	170 ng/L
TNFRSF1A	TNF receptor superfamily member 1A	170 ng/L
GPC4	Glypican 4	170 ng/L
EPB41L2	Erythrocyte membrane protein band 4.1 like 2	170 ng/L
XPO1	Exportin 1	170 ng/L
HNRNPM	Heterogeneous nuclear ribonucleoprotein M	170 ng/L
LIPG	"Lipase G, endothelial type"	170 ng/L
TSPAN14	Tetraspanin 14	170 ng/L
KRT23	Keratin 23	170 ng/L
TARS	Threonyl-tRNA synthetase	170 ng/L
DPYSL3	Dihydropyrimidinase like 3	170 ng/L
RPS15	Ribosomal protein S15	170 ng/L
RPS10	Ribosomal protein S10	170 ng/L
MED1	Mediator complex subunit 1	170 ng/L
TINAGL1	Tubulointerstitial nephritis antigen like 1	170 ng/L
RPL7	Ribosomal protein L7	170 ng/L
CAMK2G	Calcium/calmodulin dependent protein kinase II gamma	170 ng/L
MMP3	Matrix metallopeptidase 3	170 ng/L
FREM2	FRAS1 related extracellular matrix protein 2	170 ng/L
BPNT1	"3'(2'), 5'-bisphosphate nucleotidase 1"	170 ng/L
HPGDS	Hematopoietic prostaglandin D synthase	170 ng/L
HDHD2	Haloacid dehalogenase like hydrolase domain containing 2	170 ng/L
DDB1	Damage specific DNA binding protein 1	170 ng/L
STAT5B	Signal transducer and activator of transcription 5B	170 ng/L
CD163L1	CD163 molecule like 1	170 ng/L
MPI	Mannose phosphate isomerase	170 ng/L
DDI2	DNA damage inducible 1 homolog 2	170 ng/L
LIMA1	LIM domain and actin binding 1	160 ng/L
ATP6AP1	ATPase H+ transporting accessory protein 1	160 ng/L
CDH19	Cadherin 19	160 ng/L
GMPR2	Guanosine monophosphate reductase 2	160 ng/L
DARS	Aspartyl-tRNA synthetase	160 ng/L
STXBP3	Syntaxin binding protein 3	160 ng/L
UFM1	Ubiquitin fold modifier 1	160 ng/L
IAH1	Isoamyl acetate hydrolyzing esterase 1 (putative)	160 ng/L
AMIGO2	Adhesion molecule with Ig like domain 2	160 ng/L
RPL7A	Ribosomal protein L7a	160 ng/L
ADGRA3	Adhesion G protein-coupled receptor A3	160 ng/L
AIFM1	Apoptosis inducing factor mitochondria associated 1	160 ng/L
ACOX1	Acyl-CoA oxidase 1	160 ng/L
DPM3	Dolichyl-phosphate mannosyltransferase subunit 3	160 ng/L
PTPN11	"Protein tyrosine phosphatase, non-receptor type 11"	160 ng/L
SHMT2	Serine hydroxymethyltransferase 2	160 ng/L
DLK1	Delta like non-canonical Notch ligand 1	160 ng/L
RPS4X	"Ribosomal protein S4, X-linked"	160 ng/L
CD2AP	CD2 associated protein	160 ng/L
GPSM3	G protein signaling modulator 3	160 ng/L
DNASE1	Deoxyribonuclease 1	160 ng/L
CPNE1	Copine 1	160 ng/L
KITLG	KIT ligand	150 ng/L
NTN1	Netrin 1	150 ng/L
UBE2K	Ubiquitin conjugating enzyme E2 K	150 ng/L
GSPT1	G1 to S phase transition 1	150 ng/L
LIPA	"Lipase A, lysosomal acid type"	150 ng/L
PNPO	Pyridoxamine 5'-phosphate oxidase	150 ng/L
DDX5	DEAD-box helicase 5	150 ng/L
GNMT	Glycine N-methyltransferase	150 ng/L
PDGFRA	Platelet derived growth factor receptor alpha	150 ng/L
ATP6V1G1	ATPase H+ transporting V1 subunit G1	150 ng/L
G3BP1	G3BP stress granule assembly factor 1	150 ng/L
NONO	Non-POU domain containing octamer binding	150 ng/L
TMEM132D	Transmembrane protein 132D	150 ng/L
CARHSP1	Calcium regulated heat stable protein 1	150 ng/L
HAAO	"3-hydroxyanthranilate 3,4-dioxygenase"	150 ng/L
NDRG2	NDRG family member 2	150 ng/L
AP1G1	Adaptor related protein complex 1 gamma 1 subunit	150 ng/L
RGMB	Repulsive guidance molecule BMP co-receptor b	150 ng/L
PITPNB	Phosphatidylinositol transfer protein beta	150 ng/L
PURA	Purine rich element binding protein A	150 ng/L
SHPK	Sedoheptulokinase	150 ng/L
RCSD1	RCSD domain containing 1	150 ng/L
KRTAP9-3	Keratin associated protein 9-3	150 ng/L
TNFSF12	TNF superfamily member 12	150 ng/L
EIF6	Eukaryotic translation initiation factor 6	150 ng/L
MATR3	Matrin 3	140 ng/L
ADGRA2	Adhesion G protein-coupled receptor A2	140 ng/L
XRCC5	X-ray repair cross complementing 5	140 ng/L
CPOX	Coproporphyrinogen oxidase	140 ng/L
EPB41L3	Erythrocyte membrane protein band 4.1 like 3	140 ng/L
POFUT1	Protein O-fucosyltransferase 1	140 ng/L
EDF1	Endothelial differentiation related factor 1	140 ng/L
VPS29	"VPS29, retromer complex component"	140 ng/L
IDE	Insulin degrading enzyme	140 ng/L
EML2	Echinoderm microtubule associated protein like 2	140 ng/L
STAT5A	Signal transducer and activator of transcription 5A	140 ng/L
TRIM28	Tripartite motif containing 28	140 ng/L
MAP1B	Microtubule associated protein 1B	140 ng/L
TRPC6	Transient receptor potential cation channel subfamily C member 6	140 ng/L
RTN1	Reticulon 1	140 ng/L
RPS2	Ribosomal protein S2	140 ng/L
RPL32	Ribosomal protein L32	140 ng/L
ENOPH1	Enolase-phosphatase 1	140 ng/L
CAMK2D	Calcium/calmodulin dependent protein kinase II delta	140 ng/L
PRPS1	Phosphoribosyl pyrophosphate synthetase 1	140 ng/L
DDAH1	Dimethylarginine dimethylaminohydrolase 1	140 ng/L
CC2D1B	Coiled-coil and C2 domain containing 1B	140 ng/L
SRSF2	Serine and arginine rich splicing factor 2	140 ng/L
ALDH7A1	Aldehyde dehydrogenase 7 family member A1	140 ng/L
ERBB4	Erb-b2 receptor tyrosine kinase 4	140 ng/L
TMEM132E	Transmembrane protein 132E	140 ng/L
METTL7A	Methyltransferase like 7A	140 ng/L
MYL4	Myosin light chain 4	140 ng/L
NTRK1	Neurotrophic receptor tyrosine kinase 1	140 ng/L
AGER	Advanced glycosylation end-product specific receptor	140 ng/L
HEBP1	Heme binding protein 1	130 ng/L
ZCCHC8	Zinc finger CCHC-type containing 8	130 ng/L
OSTM1	Osteopetrosis associated transmembrane protein 1	130 ng/L
HNRNPL	Heterogeneous nuclear ribonucleoprotein L	130 ng/L
ESYT2	Extended synaptotagmin 2	130 ng/L
RPL5	Ribosomal protein L5	130 ng/L
IDUA	"Iduronidase, alpha-L-"	130 ng/L
PPT1	Palmitoyl-protein thioesterase 1	130 ng/L
TMEM2	Transmembrane protein 2	130 ng/L
CAB39	Calcium binding protein 39	130 ng/L
FTO	"FTO, alpha-ketoglutarate dependent dioxygenase"	130 ng/L
RPL10	Ribosomal protein L10	130 ng/L
SCUBE1	"Signal peptide, CUB domain and EGF like domain containing 1"	130 ng/L
ARF6	ADP ribosylation factor 6	130 ng/L
LAIR1	Leukocyte associated immunoglobulin like receptor 1	130 ng/L
NT5DC1	5'-nucleotidase domain containing 1	130 ng/L
RPS23	Ribosomal protein S23	130 ng/L
S100A2	S100 calcium binding protein A2	130 ng/L
RACK1	Receptor for activated C kinase 1	130 ng/L
BRK1	"BRICK1, SCAR/WAVE actin nucleating complex subunit"	130 ng/L
MILR1	Mast cell immunoglobulin like receptor 1	130 ng/L
PKD1	"Polycystin 1, transient receptor potential channel interacting"	120 ng/L
MYOM2	Myomesin 2	120 ng/L
MAP4	Microtubule associated protein 4	120 ng/L
SLC9A3R2	SLC9A3 regulator 2	120 ng/L
FAT1	FAT atypical cadherin 1	120 ng/L
CHRD	Chordin	120 ng/L
RPL3	Ribosomal protein L3	120 ng/L
UBE2I	Ubiquitin conjugating enzyme E2 I	120 ng/L
COPZ1	Coatomer protein complex subunit zeta 1	120 ng/L
HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase	120 ng/L
HEATR1	HEAT repeat containing 1	120 ng/L
LRRFIP1	LRR binding FLII interacting protein 1	120 ng/L
LOXL1	Lysyl oxidase like 1	120 ng/L
NTS	Neurotensin	120 ng/L
MYO1G	Myosin IG	120 ng/L
ARPC5L	Actin related protein 2/3 complex subunit 5 like	120 ng/L
RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	120 ng/L
DENR	Density regulated re-initiation and release factor	120 ng/L
MEP1B	Meprin A subunit beta	120 ng/L
CRIM1	Cysteine rich transmembrane BMP regulator 1	120 ng/L
TOMM70	Translocase of outer mitochondrial membrane 70	120 ng/L
STC1	Stanniocalcin 1	120 ng/L
S100B	S100 calcium binding protein B	120 ng/L
NCSTN	Nicastrin	120 ng/L
BMP10	Bone morphogenetic protein 10	120 ng/L
FCRL1	Fc receptor like 1	120 ng/L
NELL1	Neural EGFL like 1	120 ng/L
CLMP	CXADR like membrane protein	120 ng/L
MARCKSL1	MARCKS like 1	120 ng/L
PCCA	Propionyl-CoA carboxylase alpha subunit	120 ng/L
TANGO2	Transport and golgi organization 2 homolog	120 ng/L
09-Sep	Septin 9	120 ng/L
JAG2	Jagged 2	120 ng/L
PRTN3	Proteinase 3	120 ng/L
DYNC1H1	Dynein cytoplasmic 1 heavy chain 1	120 ng/L
DDX39B	DExD-box helicase 39B	120 ng/L
VIT	Vitrin	120 ng/L
SARNP	SAP domain containing ribonucleoprotein	120 ng/L
GALT	Galactose-1-phosphate uridylyltransferase	120 ng/L
RBM8A	RNA binding motif protein 8A	120 ng/L
FKBP4	FK506 binding protein 4	110 ng/L
CD6	CD6 molecule	110 ng/L
ITGA8	Integrin subunit alpha 8	110 ng/L
SIGLEC1	Sialic acid binding Ig like lectin 1	110 ng/L
CRYM	Crystallin mu	110 ng/L
CHCHD3	Coiled-coil-helix-coiled-coil-helix domain containing 3	110 ng/L
CARS	Cysteinyl-tRNA synthetase	110 ng/L
PFDN5	Prefoldin subunit 5	110 ng/L
SCLY	Selenocysteine lyase	110 ng/L
RAP1GAP2	RAP1 GTPase activating protein 2	110 ng/L
IL2RA	Interleukin 2 receptor subunit alpha	110 ng/L
SCRN1	Secernin 1	110 ng/L
TACC2	Transforming acidic coiled-coil containing protein 2	110 ng/L
SCAMP2	Secretory carrier membrane protein 2	110 ng/L
LHFPL2	LHFPL tetraspan subfamily member 2	110 ng/L
MUT	Methylmalonyl-CoA mutase	110 ng/L
SCUBE3	"Signal peptide, CUB domain and EGF like domain containing 3"	110 ng/L
ADAMTSL3	ADAMTS like 3	110 ng/L
KALRN	Kalirin RhoGEF kinase	110 ng/L
LZIC	Leucine zipper and CTNNBIP1 domain containing	110 ng/L
MNDA	Myeloid cell nuclear differentiation antigen	110 ng/L
TAP1	"Transporter 1, ATP binding cassette subfamily B member"	110 ng/L
CST2	Cystatin SA	110 ng/L
FGGY	FGGY carbohydrate kinase domain containing	110 ng/L
HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	110 ng/L
CYC1	Cytochrome c1	110 ng/L
PPA1	Pyrophosphatase (inorganic) 1	110 ng/L
COPG1	Coatomer protein complex subunit gamma 1	110 ng/L
S100A14	S100 calcium binding protein A14	110 ng/L
SERPINB2	Serpin family B member 2	110 ng/L
COPS8	COP9 signalosome subunit 8	110 ng/L
SELENOM	Selenoprotein M	110 ng/L
PFDN6	Prefoldin subunit 6	110 ng/L
DDX3X	"DEAD-box helicase 3, X-linked"	110 ng/L
NUDT3	Nudix hydrolase 3	110 ng/L
RPS20	Ribosomal protein S20	100 ng/L
SARS	Seryl-tRNA synthetase	100 ng/L
RPL18	Ribosomal protein L18	100 ng/L
NGFR	Nerve growth factor receptor	100 ng/L
ACSL4	Acyl-CoA synthetase long chain family member 4	100 ng/L
ATP1B3	ATPase Na+/K+ transporting subunit beta 3	100 ng/L
PSMC5	"Proteasome 26S subunit, ATPase 5"	100 ng/L
SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	100 ng/L
RPL19	Ribosomal protein L19	100 ng/L
ITGA4	Integrin subunit alpha 4	100 ng/L
ANGPTL1	Angiopoietin like 1	100 ng/L
TSNAX	Translin associated factor X	100 ng/L
NUP214	Nucleoporin 214	100 ng/L
TMED7	Transmembrane p24 trafficking protein 7	100 ng/L
RPS6	Ribosomal protein S6	100 ng/L
IFNAR1	Interferon alpha and beta receptor subunit 1	100 ng/L
BTF3	Basic transcription factor 3	100 ng/L
CNTN5	Contactin 5	100 ng/L
PITPNA	Phosphatidylinositol transfer protein alpha	100 ng/L
CA13	Carbonic anhydrase 13	100 ng/L
SIRPB2	Signal regulatory protein beta 2	100 ng/L
PLA2R1	Phospholipase A2 receptor 1	99 ng/L
MME	Membrane metalloendopeptidase	99 ng/L
PDGFB	Platelet derived growth factor subunit B	98 ng/L
APEX1	Apurinic/apyrimidinic endodeoxyribonuclease 1	98 ng/L
BCAN	Brevican	98 ng/L
STOML2	Stomatin like 2	98 ng/L
DHX9	DExH-box helicase 9	97 ng/L
LMNB2	Lamin B2	97 ng/L
RBP2	Retinol binding protein 2	96 ng/L
FAM171A1	Family with sequence similarity 171 member A1	96 ng/L
MGAT5	"Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase"	96 ng/L
PC	Pyruvate carboxylase	96 ng/L
LRRC19	Leucine rich repeat containing 19	96 ng/L
TMEM63A	Transmembrane protein 63A	96 ng/L
ITGB5	Integrin subunit beta 5	95 ng/L
TXNDC12	Thioredoxin domain containing 12	95 ng/L
LY96	Lymphocyte antigen 96	95 ng/L
PLCB3	Phospholipase C beta 3	94 ng/L
TMEM43	Transmembrane protein 43	94 ng/L
IFI35	Interferon induced protein 35	93 ng/L
CRYBB1	Crystallin beta B1	93 ng/L
ECHDC3	Enoyl-CoA hydratase domain containing 3	93 ng/L
AP2A2	Adaptor related protein complex 2 alpha 2 subunit	93 ng/L
IPO5	Importin 5	92 ng/L
IL5RA	Interleukin 5 receptor subunit alpha	92 ng/L
ACYP1	Acylphosphatase 1	92 ng/L
LY6D	Lymphocyte antigen 6 family member D	92 ng/L
LGALS4	Galectin 4	92 ng/L
S100A16	S100 calcium binding protein A16	92 ng/L
